,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23402,GED 037,Knowledge;Language and Logic,Fiziksel (Yüz yüze),Kerem Eksen,FEB,Friday,14:30/17:29 -,D205,30,0,-,MBI_LS,-,-
1,24835,GED 103,Intr.to World Affairs,Fiziksel (Yüz yüze),Umut Uzer,BBB,Wednesday,08:30/11:29 -,--,30,0,-,SBL_LS; SED_LS,-,-
