,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22577,BBF 103E,Discrete Mathematics,Fiziksel (Yüz yüze),Şule Öğüdücü,BBB,Wednesday,12:30/15:29 -,Z-16,90,0,-,BLG_LS; BLGE_LS; SECE_LS; YZVE_LS,-,-
1,22586,BBF 103E,Discrete Mathematics,Fiziksel (Yüz yüze),Mehmet Akif Yazıcı,BBB,Wednesday,09:30/12:29 -,Z-18,80,0,-,BLG_LS; BLGE_LS; SECE_LS; YZVE_LS,-,-
2,22588,BBF 103E,Discrete Mathematics,Fiziksel (Yüz yüze),Tuğçe Bilen,BBB,Wednesday,09:30/12:29 -,Z-19,80,0,-,BLG_LS; BLGE_LS; SECE_LS; YZVE_LS,-,-
